id,name,release_time,average_entry_score,finished,data_checked,highest_scoring_entry,deadline_time_epoch,deadline_time_game_offset,highest_score,is_previous,is_current,is_next,cup_leagues_created,h2h_ko_matches_created,ranked_count,chip_plays,most_selected,most_transferred_in,top_element,top_element_info,transfers_made,most_captained,most_vice_captained,gameweek_date
1,Gameweek 1,,57,True,True,3546234.0,1723829400,0,127.0,False,False,False,False,False,8597356,"[{'chip_name': 'bboost', 'num_played': 144974}, {'chip_name': '3xc', 'num_played': 221430}]",401.0,1.0,328.0,"{'id': 328, 'points': 14}",0,351.0,351.0,2024-08-16
2,Gameweek 2,,69,True,True,9442126.0,1724493600,0,154.0,True,False,False,True,True,9543353,"[{'chip_name': 'bboost', 'num_played': 118782}, {'chip_name': 'freehit', 'num_played': 102788}, {'chip_name': 'wildcard', 'num_played': 217521}, {'chip_name': '3xc', 'num_played': 612384}]",401.0,594.0,177.0,"{'id': 177, 'points': 20}",13364453,351.0,401.0,2024-08-24
3,Gameweek 3,,64,True,True,430195.0,1725098400,0,130.0,False,True,False,True,True,9912161,"[{'chip_name': 'bboost', 'num_played': 87334}, {'chip_name': 'freehit', 'num_played': 140192}, {'chip_name': 'wildcard', 'num_played': 656652}, {'chip_name': '3xc', 'num_played': 186907}]",351.0,177.0,328.0,"{'id': 328, 'points': 17}",23723836,351.0,328.0,2024-08-31
4,Gameweek 4,,0,False,False,,1726308000,0,,False,False,True,True,True,0,[],,,,,0,,,2024-09-14
5,Gameweek 5,,0,False,False,,1726912800,0,,False,False,False,False,False,0,[],,,,,0,,,2024-09-21
6,Gameweek 6,,0,False,False,,1727517600,0,,False,False,False,False,False,0,[],,,,,0,,,2024-09-28
7,Gameweek 7,,0,False,False,,1728122400,0,,False,False,False,False,False,0,[],,,,,0,,,2024-10-05
8,Gameweek 8,,0,False,False,,1729332000,0,,False,False,False,False,False,0,[],,,,,0,,,2024-10-19
9,Gameweek 9,,0,False,False,,1729877400,0,,False,False,False,False,False,0,[],,,,,0,,,2024-10-25
10,Gameweek 10,,0,False,False,,1730554200,0,,False,False,False,False,False,0,[],,,,,0,,,2024-11-02
11,Gameweek 11,,0,False,False,,1731159000,0,,False,False,False,False,False,0,[],,,,,0,,,2024-11-09
12,Gameweek 12,,0,False,False,,1732368600,0,,False,False,False,False,False,0,[],,,,,0,,,2024-11-23
13,Gameweek 13,,0,False,False,,1732973400,0,,False,False,False,False,False,0,[],,,,,0,,,2024-11-30
14,Gameweek 14,,0,False,False,,1733249700,0,,False,False,False,False,False,0,[],,,,,0,,,2024-12-03
15,Gameweek 15,,0,False,False,,1733578200,0,,False,False,False,False,False,0,[],,,,,0,,,2024-12-07
16,Gameweek 16,,0,False,False,,1734183000,0,,False,False,False,False,False,0,[],,,,,0,,,2024-12-14
17,Gameweek 17,,0,False,False,,1734787800,0,,False,False,False,False,False,0,[],,,,,0,,,2024-12-21
18,Gameweek 18,,0,False,False,,1735219800,0,,False,False,False,False,False,0,[],,,,,0,,,2024-12-26
19,Gameweek 19,,0,False,False,,1735479000,0,,False,False,False,False,False,0,[],,,,,0,,,2024-12-29
20,Gameweek 20,,0,False,False,,1735997400,0,,False,False,False,False,False,0,[],,,,,0,,,2025-01-04
21,Gameweek 21,,0,False,False,,1736878500,0,,False,False,False,False,False,0,[],,,,,0,,,2025-01-14
22,Gameweek 22,,0,False,False,,1737207000,0,,False,False,False,False,False,0,[],,,,,0,,,2025-01-18
23,Gameweek 23,,0,False,False,,1737811800,0,,False,False,False,False,False,0,[],,,,,0,,,2025-01-25
24,Gameweek 24,,0,False,False,,1738416600,0,,False,False,False,False,False,0,[],,,,,0,,,2025-02-01
25,Gameweek 25,,0,False,False,,1739626200,0,,False,False,False,False,False,0,[],,,,,0,,,2025-02-15
26,Gameweek 26,,0,False,False,,1740231000,0,,False,False,False,False,False,0,[],,,,,0,,,2025-02-22
27,Gameweek 27,,0,False,False,,1740507300,0,,False,False,False,False,False,0,[],,,,,0,,,2025-02-25
28,Gameweek 28,,0,False,False,,1741440600,0,,False,False,False,False,False,0,[],,,,,0,,,2025-03-08
29,Gameweek 29,,0,False,False,,1742045400,0,,False,False,False,False,False,0,[],,,,,0,,,2025-03-15
30,Gameweek 30,,0,False,False,,1743527700,0,,False,False,False,False,False,0,[],,,,,0,,,2025-04-01
31,Gameweek 31,,0,False,False,,1743856200,0,,False,False,False,False,False,0,[],,,,,0,,,2025-04-05
32,Gameweek 32,,0,False,False,,1744461000,0,,False,False,False,False,False,0,[],,,,,0,,,2025-04-12
33,Gameweek 33,,0,False,False,,1745065800,0,,False,False,False,False,False,0,[],,,,,0,,,2025-04-19
34,Gameweek 34,,0,False,False,,1745670600,0,,False,False,False,False,False,0,[],,,,,0,,,2025-04-26
35,Gameweek 35,,0,False,False,,1746275400,0,,False,False,False,False,False,0,[],,,,,0,,,2025-05-03
36,Gameweek 36,,0,False,False,,1746880200,0,,False,False,False,False,False,0,[],,,,,0,,,2025-05-10
37,Gameweek 37,,0,False,False,,1747571400,0,,False,False,False,False,False,0,[],,,,,0,,,2025-05-18
38,Gameweek 38,,0,False,False,,1748179800,0,,False,False,False,False,False,0,[],,,,,0,,,2025-05-25
